METHOD,AGENTNUM,ITERNUM,SOURCE,SCORE,TIME
MPI,5,10,cleavland-9.csv,0.555556,0.003893
OpenMP,5,10,cleavland-9.csv,0.555556,0.052208
Sequential,5,10,cleavland-100.csv,0.250000,0.184542
MPI,5,10,cleavland-100.csv,0.250000,0.080049
OpenMP,5,10,cleavland-100.csv,0.250000,0.140594
Sequential,5,10,cleavland-600.csv,0.246667,7.585528
MPI,5,10,cleavland-600.csv,0.246667,1.755148
OpenMP,5,10,cleavland-600.csv,0.246667,5.617755
Sequential,5,10,cleavland-1000.csv,0.217000,22.611274
MPI,5,10,cleavland-1000.csv,0.217000,4.428575
OpenMP,5,10,cleavland-1000.csv,0.224000,12.958941
Sequential,4,10,cleavland.csv,0.541254,7.946092
MPI,4,10,cleavland.csv,0.541254,1.162190
OpenMP,4,10,cleavland.csv,0.541254,4.466091
Sequential,5,10,cleavland.csv,0.547855,7.587885
MPI,5,10,cleavland.csv,0.541254,2.223695
OpenMP,5,10,cleavland.csv,0.541254,3.839400
Sequential,6,10,cleavland.csv,0.607261,11.898711
MPI,6,10,cleavland.csv,0.541254,0.720966
OpenMP,6,10,cleavland.csv,0.541254,7.505609
Sequential,7,10,cleavland.csv,0.541254,11.130044
MPI,7,10,cleavland.csv,0.541254,1.767773
OpenMP,7,10,cleavland.csv,0.541254,5.089432
Sequential,8,10,cleavland.csv,0.541254,11.054904
MPI,8,10,cleavland.csv,0.541254,3.358357
OpenMP,8,10,cleavland.csv,0.541254,1.511893
Sequential,9,10,cleavland.csv,0.541254,9.155041
OpenMP,9,10,cleavland.csv,0.541254,7.974870
Sequential,10,10,cleavland.csv,0.541254,17.757139
OpenMP,10,10,cleavland.csv,0.541254,15.316448
Sequential,11,10,cleavland.csv,0.557756,19.780009
OpenMP,11,10,cleavland.csv,0.554455,11.053328
Sequential,12,10,cleavland.csv,0.541254,19.223097
OpenMP,12,10,cleavland.csv,0.541254,8.367469
Sequential,13,10,cleavland.csv,0.541254,18.241911
OpenMP,13,10,cleavland.csv,0.541254,8.417818
Sequential,5,10,cleavland.csv,0.541254,3.965933
MPI,5,10,cleavland.csv,0.547855,3.137499
OpenMP,5,10,cleavland.csv,0.541254,3.482852
Sequential,5,20,cleavland.csv,0.541254,17.940683
MPI,5,20,cleavland.csv,0.541254,4.024263
OpenMP,5,20,cleavland.csv,0.541254,14.007657
Sequential,5,30,cleavland.csv,0.541254,47.885328
MPI,5,30,cleavland.csv,0.541254,3.016927
OpenMP,5,30,cleavland.csv,0.541254,12.972108
Sequential,5,40,cleavland.csv,0.547855,36.680758
MPI,5,40,cleavland.csv,0.541254,9.548338
OpenMP,5,40,cleavland.csv,0.541254,14.244070
Sequential,5,50,cleavland.csv,0.541254,48.515843
MPI,5,50,cleavland.csv,0.541254,6.126063
OpenMP,5,50,cleavland.csv,0.541254,17.562723
Sequential,5,60,cleavland.csv,0.541254,37.013866
MPI,5,60,cleavland.csv,0.541254,11.828821
OpenMP,5,60,cleavland.csv,0.541254,4.065612
Sequential,5,70,cleavland.csv,0.541254,16.718582
MPI,5,70,cleavland.csv,0.541254,11.110991
OpenMP,5,70,cleavland.csv,0.541254,34.582936
Sequential,5,80,cleavland.csv,0.541254,94.965911
MPI,5,80,cleavland.csv,0.541254,4.668228
OpenMP,5,80,cleavland.csv,0.541254,18.608900
