METHOD,AGENTNUM,ITERNUM,SOURCE,SCORE,TIME
OpenMP,5,50,cleavland.csv,0.541254,15.852207
Sequential,5,60,cleavland.csv,0.541254,41.600059
MPI,5,60,cleavland.csv,0.541254,15.788758
OpenMP,5,60,cleavland.csv,0.541254,22.161468
Sequential,5,70,cleavland.csv,0.541254,19.637021
MPI,5,70,cleavland.csv,0.541254,20.558215
OpenMP,5,70,cleavland.csv,0.541254,9.250965
Sequential,5,80,cleavland.csv,0.541254,26.258887
MPI,5,80,cleavland.csv,0.541254,20.337490
OpenMP,5,80,cleavland.csv,0.541254,38.240039
Sequential,5,90,cleavland.csv,0.541254,26.587366
MPI,5,90,cleavland.csv,0.541254,8.376229
OpenMP,5,90,cleavland.csv,0.541254,9.071900
Sequential,5,100,cleavland.csv,0.541254,76.136442
MPI,5,100,cleavland.csv,0.541254,4.796591
OpenMP,5,100,cleavland.csv,0.541254,20.222518
Sequential,5,10,cleavland-9.csv,0.555556,0.003877
MPI,5,10,cleavland-9.csv,0.555556,0.010343
OpenMP,5,10,cleavland-9.csv,0.555556,0.274841
Sequential,5,10,cleavland-100.csv,0.250000,0.208371
MPI,5,10,cleavland-100.csv,0.270000,0.092034
OpenMP,5,10,cleavland-100.csv,0.250000,0.350811
Sequential,5,10,cleavland-600.csv,0.246667,7.293468
MPI,5,10,cleavland-600.csv,0.246667,2.706751
OpenMP,5,10,cleavland-600.csv,0.246667,6.982759
Sequential,5,10,cleavland-1000.csv,0.217000,13.602242
MPI,5,10,cleavland-1000.csv,0.310000,12.201355
OpenMP,5,10,cleavland-1000.csv,0.234000,22.511349
Sequential,4,10,cleavland.csv,0.541254,4.721989
MPI,4,10,cleavland.csv,0.541254,2.740489
OpenMP,4,10,cleavland.csv,0.541254,6.367689
Sequential,5,10,cleavland.csv,0.597360,17.293699
MPI,5,10,cleavland.csv,0.547855,5.446700
OpenMP,5,10,cleavland.csv,0.541254,6.213518
Sequential,6,10,cleavland.csv,0.541254,13.721026
MPI,6,10,cleavland.csv,0.541254,3.057345
OpenMP,6,10,cleavland.csv,0.541254,5.082892
Sequential,7,10,cleavland.csv,0.541254,11.267314
MPI,7,10,cleavland.csv,0.541254,4.859396
OpenMP,7,10,cleavland.csv,0.541254,6.015384
Sequential,8,10,cleavland.csv,0.541254,15.454440
MPI,8,10,cleavland.csv,0.541254,6.875302
OpenMP,8,10,cleavland.csv,0.561056,6.282623
Sequential,9,10,cleavland.csv,0.541254,14.132821
MPI,9,10,cleavland.csv,0.541254,2.842964
OpenMP,9,10,cleavland.csv,0.541254,5.483673
Sequential,10,10,cleavland.csv,0.541254,13.681408
MPI,10,10,cleavland.csv,0.541254,3.382887
OpenMP,10,10,cleavland.csv,0.541254,6.014496
Sequential,11,10,cleavland.csv,0.541254,12.030084
MPI,11,10,cleavland.csv,0.541254,3.252630
OpenMP,11,10,cleavland.csv,0.541254,5.863632
Sequential,12,10,cleavland.csv,0.541254,18.011639
MPI,12,10,cleavland.csv,0.554455,5.273222
OpenMP,12,10,cleavland.csv,0.541254,6.994462
Sequential,13,10,cleavland.csv,0.541254,26.582156
MPI,13,10,cleavland.csv,0.541254,4.279067
OpenMP,13,10,cleavland.csv,0.541254,7.623129
Sequential,5,10,cleavland.csv,0.547855,10.135901
MPI,5,10,cleavland.csv,0.551155,4.441812
OpenMP,5,10,cleavland.csv,0.541254,4.628356
Sequential,5,20,cleavland.csv,0.541254,8.823533
MPI,5,20,cleavland.csv,0.541254,6.388163
OpenMP,5,20,cleavland.csv,0.541254,13.637415
Sequential,5,30,cleavland.csv,0.541254,13.211028
MPI,5,30,cleavland.csv,0.564356,13.455766
OpenMP,5,30,cleavland.csv,0.541254,11.620205
Sequential,5,40,cleavland.csv,0.541254,21.234468
MPI,5,40,cleavland.csv,0.541254,9.583358
OpenMP,5,40,cleavland.csv,0.541254,11.450972
Sequential,5,50,cleavland.csv,0.541254,41.770384
MPI,5,50,cleavland.csv,0.541254,12.398795
OpenMP,5,50,cleavland.csv,0.541254,6.545865
Sequential,5,60,cleavland.csv,0.541254,30.634500
MPI,5,60,cleavland.csv,0.541254,9.429132
OpenMP,5,60,cleavland.csv,0.541254,30.587784
Sequential,5,70,cleavland.csv,0.541254,30.951788
MPI,5,70,cleavland.csv,0.541254,17.539837
OpenMP,5,70,cleavland.csv,0.541254,4.329142
Sequential,5,80,cleavland.csv,0.541254,15.313296
Sequential,4,10,cleavland.csv,0.541254,6.528847
MPI,4,10,cleavland.csv,0.541254,5.645972
OpenMP,4,10,cleavland.csv,0.541254,7.366659
Sequential,5,10,cleavland.csv,0.620462,8.046172
MPI,5,10,cleavland.csv,0.541254,4.866875
OpenMP,5,10,cleavland.csv,0.547855,7.661795
Sequential,6,10,cleavland.csv,0.541254,11.942127
MPI,6,10,cleavland.csv,0.570957,4.647318
OpenMP,6,10,cleavland.csv,0.541254,5.586119
Sequential,7,10,cleavland.csv,0.541254,10.880041
MPI,7,10,cleavland.csv,0.541254,3.855075
OpenMP,7,10,cleavland.csv,0.547855,7.618651
Sequential,8,10,cleavland.csv,0.541254,15.194867
MPI,8,10,cleavland.csv,0.557756,4.767523
OpenMP,8,10,cleavland.csv,0.541254,7.344886
Sequential,9,10,cleavland.csv,0.541254,15.469266
MPI,9,10,cleavland.csv,0.541254,3.310867
OpenMP,9,10,cleavland.csv,0.541254,6.251718
Sequential,10,10,cleavland.csv,0.561056,10.798548
MPI,10,10,cleavland.csv,0.541254,3.943396
OpenMP,10,10,cleavland.csv,0.541254,7.895080
Sequential,11,10,cleavland.csv,0.541254,13.159811
MPI,11,10,cleavland.csv,0.541254,4.170993
OpenMP,11,10,cleavland.csv,0.564356,8.022298
Sequential,12,10,cleavland.csv,0.541254,17.280363
MPI,12,10,cleavland.csv,0.570957,6.327665
OpenMP,12,10,cleavland.csv,0.541254,4.736910
Sequential,13,10,cleavland.csv,0.541254,23.748755
MPI,13,10,cleavland.csv,0.541254,3.741230
OpenMP,13,10,cleavland.csv,0.541254,6.401480
Sequential,5,10,cleavland.csv,0.541254,9.873709
MPI,5,10,cleavland.csv,0.541254,3.015904
OpenMP,5,10,cleavland.csv,0.541254,4.855269
Sequential,5,20,cleavland.csv,0.561056,24.001867
MPI,5,20,cleavland.csv,0.541254,5.416530
OpenMP,5,20,cleavland.csv,0.541254,5.005132
Sequential,5,30,cleavland.csv,0.541254,23.491995
MPI,5,30,cleavland.csv,0.541254,10.504598
OpenMP,5,30,cleavland.csv,0.541254,19.482825
Sequential,5,40,cleavland.csv,0.541254,13.356156
MPI,5,40,cleavland.csv,0.541254,1.845370
OpenMP,5,40,cleavland.csv,0.541254,14.646905
Sequential,5,50,cleavland.csv,0.541254,34.300541
MPI,5,50,cleavland.csv,0.541254,11.221260
OpenMP,5,50,cleavland.csv,0.541254,7.441974
Sequential,5,60,cleavland.csv,0.541254,47.774159
MPI,5,60,cleavland.csv,0.541254,7.678229
OpenMP,5,60,cleavland.csv,0.541254,16.206434
Sequential,5,70,cleavland.csv,0.541254,34.996843
MPI,5,70,cleavland.csv,0.541254,5.380569
OpenMP,5,70,cleavland.csv,0.541254,15.839754
Sequential,5,80,cleavland.csv,0.541254,36.898914
MPI,5,80,cleavland.csv,0.541254,14.673054
OpenMP,5,80,cleavland.csv,0.541254,15.732011
Sequential,5,90,cleavland.csv,0.541254,22.389569
MPI,5,90,cleavland.csv,0.541254,32.707991
OpenMP,5,90,cleavland.csv,0.541254,31.971261
Sequential,5,100,cleavland.csv,0.541254,19.474780
MPI,5,100,cleavland.csv,0.541254,24.057816
OpenMP,5,100,cleavland.csv,0.541254,13.354858
Sequential,5,10,cleavland-9.csv,0.555556,0.015617
MPI,5,10,cleavland-9.csv,0.555556,0.008665
OpenMP,5,10,cleavland-9.csv,0.555556,0.264429
Sequential,5,10,cleavland-100.csv,0.250000,0.530474
MPI,5,10,cleavland-100.csv,0.300000,0.091834
OpenMP,5,10,cleavland-100.csv,0.250000,0.318778
Sequential,5,10,cleavland-600.csv,0.246667,8.157036
MPI,5,10,cleavland-600.csv,0.246667,2.790278
OpenMP,5,10,cleavland-600.csv,0.246667,5.431823
Sequential,5,10,cleavland-1000.csv,0.283000,33.058410
MPI,5,10,cleavland-1000.csv,0.237000,8.115042
OpenMP,5,10,cleavland-1000.csv,0.242000,15.304171
Sequential,4,10,cleavland.csv,0.541254,9.752505
MPI,4,10,cleavland.csv,0.541254,3.172883
OpenMP,4,10,cleavland.csv,0.574257,5.950802
